name,market,date,open,high,low,close,volume,amount,currency
君实生物,A股,2025-11-13,38.49,39.29,38.19,39.2,8760826.0,341370000.0,CNY
君实生物,A股,2025-11-14,38.99,39.67,38.6,39.01,8243013.0,323190000.0,CNY
君实生物,A股,2025-11-17,38.76,39.2,38.0,38.07,6823032.0,260910000.0,CNY
君实生物,A股,2025-11-18,38.05,38.7,37.09,37.4,7267944.0,274100000.0,CNY
君实生物,A股,2025-11-19,37.39,37.66,36.68,37.01,6395229.0,236900000.0,CNY
君实生物,A股,2025-11-20,37.09,37.36,36.7,36.82,4173067.0,154280000.0,CNY
君实生物,A股,2025-11-21,36.64,37.07,35.57,35.75,8597546.0,310180000.0,CNY
君实生物,A股,2025-11-24,35.78,36.48,35.7,36.25,5132150.0,185240000.0,CNY
君实生物,A股,2025-11-25,36.44,37.52,36.35,36.91,7198117.0,267820000.0,CNY
君实生物,A股,2025-11-26,36.7,37.96,36.1,37.08,7849942.0,293630000.0,CNY
君实生物,A股,2025-11-27,37.0,37.5,36.78,37.06,5319113.0,198010000.0,CNY
君实生物,A股,2025-11-28,37.08,37.29,36.73,37.1,4779033.0,176830000.0,CNY
君实生物,A股,2025-12-01,36.98,37.19,36.41,36.51,5710735.0,209170000.0,CNY
君实生物,A股,2025-12-02,36.58,36.59,35.8,35.81,4762978.0,171550000.0,CNY
君实生物,A股,2025-12-03,36.25,36.25,35.15,35.36,5353590.0,190400000.0,CNY
君实生物,A股,2025-12-04,35.58,36.17,35.39,35.75,4512079.0,161460000.0,CNY
君实生物,A股,2025-12-05,35.75,36.05,35.19,36.0,4356253.0,155300000.0,CNY
君实生物,A股,2025-12-08,36.9,37.5,36.22,36.36,7164495.0,262380000.0,CNY
君实生物,A股,2025-12-09,36.37,36.7,36.06,36.09,5236808.0,190290000.0,CNY
君实生物,A股,2025-12-10,36.05,36.44,35.49,36.3,4812623.0,173090000.0,CNY
君实生物,A股,2025-12-11,36.31,37.01,36.2,36.31,5432498.0,198670000.0,CNY
君实生物,A股,2025-12-12,36.5,36.8,35.98,36.58,7775659.0,283630000.0,CNY
君实生物,A股,2025-12-15,36.6,37.36,36.45,36.58,6593073.0,242400000.0,CNY
君实生物,A股,2025-12-16,36.46,36.59,35.65,35.78,5472535.0,197020000.0,CNY
君实生物,A股,2025-12-17,35.65,36.26,35.34,36.04,4845264.0,173390000.0,CNY
君实生物,A股,2025-12-18,35.89,36.32,35.53,35.53,4806282.0,172650000.0,CNY
君实生物,A股,2025-12-19,35.18,35.91,34.6,35.41,8124968.0,286700000.0,CNY
君实生物,A股,2025-12-22,35.32,35.41,34.83,34.91,6778265.0,237290000.0,CNY
君实生物,A股,2025-12-23,35.0,35.49,34.57,34.9,5523900.0,193290000.0,CNY
君实生物,A股,2025-12-24,34.9,35.15,34.35,34.61,7985310.0,276790000.0,CNY
君实生物,A股,2025-12-25,34.61,35.13,34.3,35.0,6684494.0,232010000.0,CNY
君实生物,A股,2025-12-26,34.88,35.15,34.82,34.99,4669579.0,163320000.0,CNY
君实生物,A股,2025-12-29,34.9,35.3,34.32,34.33,6040317.0,209480000.0,CNY
