name,market,date,open,high,low,close,volume,amount,currency,MA5,MA15,ma_signal
恒瑞医药,港股,2025-09-15,82.872,85.072,82.372,84.122,3456495.0,290188936.75,HKD,84.002,81.052,
恒瑞医药,港股,2025-09-16,84.472,84.972,82.572,84.422,2367633.0,198476803.2,HKD,83.952,81.6453,
恒瑞医药,港股,2025-09-17,84.772,86.072,83.372,84.672,2883350.0,245367864.0,HKD,83.792,82.472,
恒瑞医药,港股,2025-09-18,85.822,90.772,85.272,89.572,9926689.0,875948691.55,HKD,85.132,83.6153,
恒瑞医药,港股,2025-09-19,89.772,89.772,86.172,87.372,5086110.0,444302856.45,HKD,86.032,84.3753,
恒瑞医药,港股,2025-09-22,88.572,92.072,88.122,89.772,3764210.0,339563255.0,HKD,87.162,85.0753,
恒瑞医药,港股,2025-09-23,89.772,90.722,85.872,87.272,2750500.0,241029184.4,HKD,87.732,85.542,
恒瑞医药,港股,2025-09-24,87.372,88.572,86.572,87.222,1945101.0,170061714.0,HKD,88.242,85.5587,
恒瑞医药,港股,2025-09-25,89.272,91.672,87.872,89.472,4634300.0,416532669.9,HKD,88.222,86.1153,
恒瑞医药,港股,2025-09-26,86.672,89.072,84.772,87.072,4942810.0,431041883.1,HKD,88.162,86.1887,
恒瑞医药,港股,2025-09-29,87.422,88.522,83.172,84.572,3145781.0,267329849.7,HKD,87.122,86.0953,
恒瑞医药,港股,2025-09-30,84.772,89.022,83.772,88.572,3524841.0,307359326.8,HKD,87.382,86.3553,
恒瑞医药,港股,2025-10-02,89.272,94.972,89.172,93.872,2629899.0,245426898.3,HKD,88.712,86.9153,
恒瑞医药,港股,2025-10-03,93.872,94.772,92.622,93.672,602617.0,56514950.3,HKD,89.552,87.6353,
恒瑞医药,港股,2025-10-06,93.672,93.822,91.122,91.972,893802.0,82263863.7,HKD,90.532,88.242,
恒瑞医药,港股,2025-10-08,91.972,91.972,89.572,90.772,1463400.0,132921455.4,HKD,91.772,88.6853,
恒瑞医药,港股,2025-10-09,90.522,90.522,87.172,87.572,3843740.0,338390634.5,HKD,91.572,88.8953,
恒瑞医药,港股,2025-10-10,86.072,88.122,83.722,84.072,3316874.0,284463311.5,HKD,89.612,88.8553,
恒瑞医药,港股,2025-10-13,81.472,84.872,80.622,82.622,3727916.0,307972938.45,HKD,87.402,88.392,死叉
恒瑞医药,港股,2025-10-14,83.922,84.522,78.572,79.622,3533300.0,286224003.0,HKD,84.932,87.8753,
恒瑞医药,港股,2025-10-15,79.622,82.372,78.572,81.572,1767845.0,143393387.6,HKD,83.092,87.3287,
恒瑞医药,港股,2025-10-16,82.272,84.272,80.972,81.772,1934420.0,159578429.8,HKD,81.932,86.962,
恒瑞医药,港股,2025-10-17,81.972,82.472,77.572,78.322,3698228.0,293520927.1,HKD,80.782,86.3687,
恒瑞医药,港股,2025-10-20,80.622,80.622,77.972,79.022,1890234.0,149949616.05,HKD,80.062,85.672,
恒瑞医药,港股,2025-10-21,80.572,81.072,77.472,77.872,3538264.0,280463693.68,HKD,79.712,85.0587,
恒瑞医药,港股,2025-10-22,78.572,79.572,75.672,77.822,4901161.0,379783195.576,HKD,78.962,84.6087,
恒瑞医药,港股,2025-10-23,77.522,77.722,74.772,76.072,3314300.0,251262074.7,HKD,77.822,83.7753,
恒瑞医药,港股,2025-10-24,76.572,78.022,76.122,76.572,3823673.0,295625940.35,HKD,77.472,82.622,
恒瑞医药,港股,2025-10-27,78.422,80.572,78.422,79.522,5317659.0,423784429.25,HKD,77.572,81.6787,
恒瑞医药,港股,2025-10-28,80.272,80.272,74.772,75.372,7894036.0,600345870.4,HKD,77.072,80.572,
恒瑞医药,港股,2025-10-30,75.072,75.372,72.122,72.372,8065365.0,593193175.2,HKD,75.982,79.3453,
恒瑞医药,港股,2025-10-31,71.622,76.422,71.622,74.972,6108777.0,458787870.75,HKD,75.762,78.5053,
恒瑞医药,港股,2025-11-03,75.422,75.772,71.872,73.772,4657538.0,342609041.95,HKD,75.202,77.8187,
恒瑞医药,港股,2025-11-04,73.772,73.972,70.972,71.222,3953666.0,285811673.87,HKD,73.542,77.0587,
恒瑞医药,港股,2025-11-05,70.722,72.272,70.022,72.072,3507805.0,252112349.05,HKD,72.882,76.5553,
恒瑞医药,港股,2025-11-06,72.072,72.572,71.172,72.222,3205842.0,231107333.1,HKD,72.852,75.932,
恒瑞医药,港股,2025-11-07,72.272,72.572,69.622,69.722,3131251.0,221783058.8,HKD,71.802,75.1287,
恒瑞医药,港股,2025-11-10,70.022,71.272,69.772,70.972,3343681.0,236933750.77,HKD,71.242,74.6387,
恒瑞医药,港股,2025-11-11,70.972,71.172,69.472,70.622,2870799.0,201662410.2,HKD,71.122,74.0787,
恒瑞医药,港股,2025-11-12,70.722,73.172,70.472,71.572,3581874.0,257888514.7,HKD,71.022,73.6587,
恒瑞医药,港股,2025-11-13,71.572,73.022,70.822,72.422,6995177.0,507866712.8,HKD,71.062,73.2987,
恒瑞医药,港股,2025-11-14,71.372,72.972,70.372,71.372,2544823.0,183294395.45,HKD,71.392,72.9853,
恒瑞医药,港股,2025-11-17,71.372,71.822,70.272,70.872,2670935.0,189769648.94,HKD,71.372,72.6053,
恒瑞医药,港股,2025-11-18,70.672,72.372,70.472,70.572,2867625.0,205288749.2,HKD,71.362,72.0087,
恒瑞医药,港股,2025-11-19,70.572,70.672,69.472,70.422,1560619.0,109597170.7,HKD,71.132,71.6787,
恒瑞医药,港股,2025-11-20,71.122,71.272,66.872,67.922,6191503.0,424074281.65,HKD,70.232,71.382,
恒瑞医药,港股,2025-11-21,66.772,67.122,65.272,65.722,8688464.0,577939697.2,HKD,69.102,70.7653,
恒瑞医药,港股,2025-11-24,67.622,70.172,66.622,69.422,9977026.0,692712986.5,HKD,68.812,70.4753,
恒瑞医药,港股,2025-11-25,69.472,70.972,69.472,70.122,2906141.0,204759341.1,HKD,68.722,70.402,
恒瑞医药,港股,2025-11-26,71.272,74.572,71.222,73.322,6711005.0,494387760.12,HKD,69.302,70.4853,
恒瑞医药,港股,2025-11-27,74.272,75.772,73.822,74.422,3863821.0,289157659.26,HKD,70.602,70.632,
恒瑞医药,港股,2025-11-28,74.472,75.372,73.522,73.572,1428351.0,105878157.75,HKD,72.172,70.8887,金叉
恒瑞医药,港股,2025-12-01,73.622,74.222,72.172,72.622,1849896.0,135011711.65,HKD,72.812,70.9987,
恒瑞医药,港股,2025-12-02,72.622,72.622,71.072,71.572,1469945.0,105538507.05,HKD,73.102,71.062,
恒瑞医药,港股,2025-12-03,71.172,72.572,70.822,71.572,1801082.0,129230487.7,HKD,72.752,71.062,
恒瑞医药,港股,2025-12-04,71.572,72.972,71.572,72.672,2604687.0,189604273.5,HKD,72.402,71.0787,
恒瑞医药,港股,2025-12-05,72.672,73.572,72.072,73.472,1590337.0,116605004.5,HKD,72.382,71.2187,
恒瑞医药,港股,2025-12-08,74.272,75.472,72.022,72.322,2181800.0,160310876.2,HKD,72.322,71.3153,
恒瑞医药,港股,2025-12-09,73.272,74.772,72.472,74.072,3669200.0,272626954.2,HKD,72.822,71.5487,
恒瑞医药,港股,2025-12-10,74.572,75.722,73.922,74.922,3884049.0,292294651.8,HKD,73.492,71.8487,
恒瑞医药,港股,2025-12-11,76.572,76.572,73.922,74.472,2576876.0,193188746.41,HKD,73.852,72.2853,
恒瑞医药,港股,2025-12-12,73.972,74.672,72.222,72.222,5582125.0,410471288.82,HKD,73.602,72.7187,
恒瑞医药,港股,2025-12-15,72.922,74.022,71.372,72.122,2815158.0,203672036.039,HKD,73.562,72.8987,
恒瑞医药,港股,2025-12-16,72.672,73.022,69.622,70.622,2431300.0,172084456.4,HKD,72.872,72.932,死叉
恒瑞医药,港股,2025-12-17,70.622,71.672,69.572,71.072,1297356.0,91912117.2,HKD,72.102,72.782,
恒瑞医药,港股,2025-12-18,71.672,71.772,69.872,70.472,1563200.0,110951522.4,HKD,71.302,72.5187,
恒瑞医药,港股,2025-12-19,71.272,72.622,70.472,70.522,11375474.0,809147126.1,HKD,70.962,72.3153,
恒瑞医药,港股,2025-12-22,70.572,71.872,70.272,70.322,2072999.0,147409523.5,HKD,70.602,72.162,
恒瑞医药,港股,2025-12-23,70.472,72.722,70.172,71.122,1636434.0,117395660.3,HKD,70.702,72.132,
恒瑞医药,港股,2025-12-24,70.922,71.872,70.922,70.972,656224.0,47081908.6,HKD,70.682,72.092,
恒瑞医药,港股,2025-12-29,71.272,72.272,70.022,70.022,2014739.0,143010300.25,HKD,70.592,71.9153,
恒瑞医药,港股,2025-12-30,69.672,71.472,69.322,71.072,1727600.0,122240960.0,HKD,70.702,71.7553,
恒瑞医药,港股,2025-12-31,70.822,71.822,69.872,71.022,1643000.0,117133738.2,HKD,70.842,71.6687,
恒瑞医药,港股,2026-01-02,71.022,74.972,70.922,73.872,1680000.0,124532580.0,HKD,71.392,71.6553,
恒瑞医药,港股,2026-01-05,72.372,76.272,71.772,74.872,4313399.0,325170518.5,HKD,72.172,71.652,金叉
恒瑞医药,港股,2026-01-06,75.422,75.622,73.772,74.322,2009688.0,149924404.0,HKD,73.032,71.642,
恒瑞医药,港股,2026-01-07,74.322,77.922,74.322,77.522,6649674.0,510940646.3,HKD,74.322,71.9953,
恒瑞医药,港股,2026-01-08,78.272,78.772,75.822,77.322,2997130.0,230591096.0,HKD,75.582,72.342,
恒瑞医药,港股,2026-01-09,77.172,77.172,75.922,76.522,1385713.0,106594307.25,HKD,76.112,72.7353,
恒瑞医药,港股,2026-01-12,77.672,78.172,75.322,76.722,2098962.0,160900602.05,HKD,76.482,73.112,
恒瑞医药,港股,2026-01-13,77.272,79.272,77.272,78.472,2500823.0,196663722.85,HKD,77.312,73.6453,
恒瑞医药,港股,2026-01-14,78.722,80.722,78.022,78.872,4224192.0,336107777.6,HKD,77.582,74.202,
恒瑞医药,港股,2026-01-15,78.872,78.922,77.172,77.772,1604219.0,125382302.3,HKD,77.672,74.6987,
恒瑞医药,港股,2026-01-16,78.072,78.572,76.622,77.072,1525314.0,118178190.55,HKD,77.782,75.0953,
恒瑞医药,港股,2026-01-19,77.072,77.972,75.722,76.672,2829870.0,217625975.8,HKD,77.772,75.4753,
恒瑞医药,港股,2026-01-20,76.672,76.672,73.322,73.322,2164235.0,161018219.1,HKD,76.742,75.6953,
恒瑞医药,港股,2026-01-21,73.322,74.272,72.672,73.622,2332803.0,171764877.1,HKD,75.692,75.8653,死叉
恒瑞医药,港股,2026-01-22,74.172,74.172,72.472,73.522,1804205.0,132580735.1,HKD,74.842,76.032,
恒瑞医药,港股,2026-01-23,74.522,74.522,72.672,73.022,1858196.0,136433512.0,HKD,74.032,75.9753,
恒瑞医药,港股,2026-01-26,73.022,73.022,71.172,71.722,1414140.0,101826474.85,HKD,73.042,75.7653,
恒瑞医药,港股,2026-01-27,71.822,72.322,69.572,70.422,2671905.0,187962457.85,HKD,72.462,75.5053,
恒瑞医药,港股,2026-01-28,70.472,70.722,68.822,69.222,4185410.0,291495324.0,HKD,71.582,74.952,
恒瑞医药,港股,2026-01-29,69.622,70.272,68.822,69.722,3096147.0,216106223.72,HKD,70.822,74.4453,
恒瑞医药,港股,2026-01-30,69.972,71.522,68.222,68.222,6263800.0,434622885.49,HKD,69.862,73.892,
恒瑞医药,港股,2026-02-02,66.872,68.572,65.772,66.772,4637482.0,311264651.35,HKD,68.872,73.2287,
恒瑞医药,港股,2026-02-03,67.072,67.922,66.272,66.772,2567135.0,173100033.1,HKD,68.142,72.4487,
恒瑞医药,港股,2026-02-04,66.772,67.622,64.322,66.522,5369727.0,353773784.0,HKD,67.602,71.6253,
