name,market,date,open,high,low,close,volume,amount,currency,MA5,MA15,ma_signal
君实生物,港股,2026-03-16,20.1,20.4,19.1,20.24,2634508.0,52110468.64,HKD,20.032,19.6673,
君实生物,港股,2026-03-17,20.24,21.7,20.24,20.92,4778800.0,101681839.6,HKD,20.226,19.6607,
君实生物,港股,2026-03-18,20.82,22.56,20.82,22.14,6248200.0,138235180.0,HKD,20.658,19.7193,
君实生物,港股,2026-03-19,21.8,22.7,21.54,21.76,4526800.0,99743022.0,HKD,21.024,19.822,
君实生物,港股,2026-03-20,21.72,23.16,21.38,21.9,5751000.0,127295496.4,HKD,21.392,19.9167,
君实生物,港股,2026-03-23,21.9,21.9,20.02,20.48,3417600.0,70514472.2,HKD,21.44,20.004,
君实生物,港股,2026-03-24,20.86,21.58,20.68,21.2,3099000.0,65527060.0,HKD,21.496,20.2167,
君实生物,港股,2026-03-25,21.78,21.9,21.1,21.28,1798200.0,38634028.0,HKD,21.324,20.44,
君实生物,港股,2026-03-26,21.76,21.96,21.0,21.2,2148400.0,46024250.6,HKD,21.212,20.622,
君实生物,港股,2026-03-27,20.94,22.84,20.88,22.54,4380302.0,97509080.32,HKD,21.34,20.836,
君实生物,港股,2026-03-30,22.42,23.2,22.34,23.08,4525800.0,103794832.0,HKD,21.86,21.1107,
君实生物,港股,2026-03-31,23.28,23.9,22.62,23.16,4155600.0,96350908.8,HKD,22.252,21.3247,
君实生物,港股,2026-04-01,23.6,26.18,23.6,25.84,13895652.0,351878091.88,HKD,23.164,21.7153,
君实生物,港股,2026-04-02,26.1,26.74,25.52,26.38,6380600.0,167056538.0,HKD,24.2,22.1453,
君实生物,港股,2026-04-08,26.46,26.8,24.64,25.42,7979400.0,202377813.0,HKD,24.776,22.5027,
君实生物,港股,2026-04-09,25.76,26.36,24.92,25.04,4851792.0,123866214.64,HKD,25.168,22.8227,
君实生物,港股,2026-04-10,25.08,25.48,24.8,24.94,2209008.0,55464470.4,HKD,25.524,23.0907,
君实生物,港股,2026-04-13,24.72,27.2,24.7,26.46,9216899.0,242502954.32,HKD,25.648,23.3787,
君实生物,港股,2026-04-14,26.26,26.44,25.28,25.78,3459000.0,89172638.0,HKD,25.528,23.6467,
君实生物,港股,2026-04-15,26.76,27.64,25.62,27.5,8368800.0,226252280.0,HKD,25.944,24.02,
君实生物,港股,2026-04-16,27.6,27.98,27.02,27.54,3902600.0,107628222.0,HKD,26.444,24.4907,
君实生物,港股,2026-04-17,27.88,29.26,27.52,28.96,8710197.0,248649465.24,HKD,27.248,25.008,
君实生物,港股,2026-04-20,29.28,30.8,28.6,28.6,8744600.0,258658725.6,HKD,27.676,25.496,
君实生物,港股,2026-04-21,28.6,29.2,28.04,28.12,4276400.0,121534608.0,HKD,28.144,25.9573,
君实生物,港股,2026-04-22,28.12,28.96,27.84,27.92,3400600.0,95966040.4,HKD,28.228,26.316,
君实生物,港股,2026-04-23,27.9,27.9,25.76,25.9,7309200.0,192610102.8,HKD,27.9,26.504,
君实生物,港股,2026-04-24,25.9,26.18,24.44,25.88,4458432.0,113755472.0,HKD,27.284,26.6853,
君实生物,港股,2026-04-27,25.86,26.54,25.1,26.08,5282800.0,137295704.0,HKD,26.78,26.7013,
君实生物,港股,2026-04-28,26.5,28.8,25.56,27.24,6997000.0,194956520.0,HKD,26.604,26.7587,死叉
