| date | open | last | high | low | volume | amount | exchange |
| 2026-03-09 | 7927.29 | 7921.52 | 7947.06 | 7846.38 | 101908 | 31817380000 | 1.03 |
| 2026-03-06 | 7817.31 | 8009.05 | 8014.88 | 7810.53 | 95784 | 31587690000 | 0.97 |
| 2026-03-05 | 7877.27 | 7831.58 | 7902.19 | 7805.32 | 84184 | 26819310000 | 0.85 |
| 2026-03-04 | 7852.28 | 7797.86 | 7898.83 | 7767.65 | 106851 | 32899500000 | 1.08 |
| 2026-03-03 | 8053.59 | 7895.26 | 8096.75 | 7891.44 | 147430 | 43142150000 | 1.49 |
| 2026-03-02 | 8087.74 | 8043.42 | 8143.08 | 7992.23 | 131088 | 40239950000 | 1.32 |
| 2026-02-27 | 8160.61 | 8180.37 | 8210.08 | 8143.11 | 82162 | 26182470000 | 0.83 |
| 2026-02-26 | 8266.21 | 8171.5 | 8279.04 | 8156.28 | 93700 | 32068270000 | 0.94 |
| 2026-02-25 | 8209.07 | 8257.65 | 8267.97 | 8195.74 | 107744 | 30690020000 | 1.09 |
| 2026-02-24 | 8271.17 | 8203.62 | 8276.76 | 8190.18 | 97396 | 27337200000 | 0.98 |
| 2026-02-13 | 8311.79 | 8202.02 | 8318.97 | 8200.42 | 88630 | 24849840000 | 0.89 |
| 2026-02-12 | 8354.95 | 8317.19 | 8397.42 | 8315.66 | 90211 | 27666550000 | 0.91 |
| 2026-02-11 | 8355.65 | 8356.84 | 8403.66 | 8349.01 | 83017 | 25752260000 | 0.84 |
| 2026-02-10 | 8292.3 | 8351.27 | 8398.07 | 8265.19 | 102004 | 32571340000 | 1.03 |
| 2026-02-09 | 8296.59 | 8292.58 | 8303.14 | 8256 | 114723 | 30968240000 | 1.16 |
| 2026-02-06 | 8265.69 | 8263.32 | 8323 | 8220.22 | 127705 | 36010860000 | 1.29 |
| 2026-02-05 | 8240.01 | 8283.7 | 8314.43 | 8235.05 | 116058 | 35965830000 | 1.17 |
| 2026-02-04 | 8117.51 | 8243.34 | 8245.9 | 8086.26 | 109689 | 32962270000 | 1.11 |
| 2026-02-03 | 8061.93 | 8131.4 | 8133.11 | 8005.96 | 105029 | 30296830000 | 1.06 |
| 2026-02-02 | 8159.79 | 8015.21 | 8218.5 | 8009 | 131895 | 38146010000 | 1.33 |
| 2026-01-30 | 8312.95 | 8198.63 | 8381.36 | 8186.57 | 136831 | 41000060000 | 1.38 |
| 2026-01-29 | 8216.91 | 8326.13 | 8348.31 | 8165.28 | 169667 | 50775700000 | 1.71 |
| 2026-01-28 | 8319.75 | 8226.91 | 8327.28 | 8214.76 | 149234 | 45793030000 | 1.50 |
| 2026-01-27 | 8445.87 | 8328.7 | 8448.08 | 8260.33 | 187636 | 48985970000 | 1.89 |
| 2026-01-26 | 8448.17 | 8433.54 | 8474.55 | 8334.82 | 237775 | 57654490000 | 2.40 |
| 2026-01-23 | 8382.06 | 8425 | 8456.09 | 8373.47 | 179896 | 44323820000 | 1.81 |
| 2026-01-22 | 8415.95 | 8348.92 | 8437.92 | 8329.32 | 118263 | 33967220000 | 1.19 |
| 2026-01-21 | 8396.43 | 8397.66 | 8482.95 | 8362.74 | 136370 | 35681420000 | 1.37 |
| 2026-01-20 | 8487.07 | 8414.24 | 8508.36 | 8385.56 | 153637 | 38548490000 | 1.55 |
| 2026-01-19 | 8518.89 | 8487.28 | 8553.46 | 8451.98 | 149770 | 38753570000 | 1.51 |
